radar,metric,season,nights,years,first,last,p50,p70,p90,max,share_top10,lat,lon
frbol,vid_night,spring,868,9,2016-02-15,2026-05-31,6.5,18.6,75.7,979.3,0.7,44.3,4.8
frbol,vid_night,autumn,881,11,2016-08-15,2026-08-30,15.1,37.2,152.6,1407.0,0.6,44.3,4.8
frbor,vid_night,spring,1010,10,2016-02-15,2026-05-31,1.4,4.0,15.6,212.5,0.6,44.8,-0.7
frbor,vid_night,autumn,1046,11,2016-08-15,2026-08-30,1.6,5.4,29.6,416.4,0.6,44.8,-0.7
frbou,vid_night,spring,965,10,2016-02-15,2026-05-29,3.3,6.7,21.7,1207.1,0.6,47.1,2.4
frbou,vid_night,autumn,941,11,2016-08-15,2026-08-30,3.6,7.6,24.8,137.1,0.5,47.1,2.4
frcae,vid_night,spring,974,10,2016-02-15,2026-05-31,1.8,3.9,10.9,66.0,0.5,48.9,-0.1
frcae,vid_night,autumn,1040,11,2016-08-15,2026-08-30,2.1,4.8,16.2,121.5,0.5,48.9,-0.1
frche,vid_night,spring,872,9,2016-02-17,2025-05-31,1.4,4.9,14.8,222.9,0.5,46.7,0.1
frche,vid_night,autumn,1006,10,2016-08-15,2025-11-30,1.4,5.3,14.7,123.0,0.5,46.7,0.1
frcol,vid_night,spring,998,10,2016-02-15,2026-05-31,2.4,6.1,53.3,1213.2,0.8,43.2,6.4
frcol,vid_night,autumn,1005,11,2016-08-15,2026-08-30,4.8,17.9,178.5,2919.1,0.8,43.2,6.4
frgre,vid_night,spring,1002,10,2016-02-15,2026-05-31,1.7,5.1,17.9,392.8,0.5,45.1,1.4
frgre,vid_night,autumn,1020,11,2016-08-15,2026-08-30,1.4,5.6,25.1,387.1,0.6,45.1,1.4
frlep,vid_night,spring,930,10,2016-02-15,2026-03-31,2.0,4.2,13.3,203.1,0.5,45.3,3.7
frlep,vid_night,autumn,1021,11,2016-08-15,2026-08-30,3.8,8.1,22.7,355.4,0.5,45.3,3.7
frmcl,vid_night,spring,974,10,2016-02-15,2026-05-14,1.7,4.5,15.5,226.8,0.6,44.0,2.6
frmcl,vid_night,autumn,1009,11,2016-08-15,2026-08-30,2.4,6.5,24.4,357.0,0.5,44.0,2.6
frmom,vid_night,spring,932,10,2016-02-15,2026-05-31,2.5,7.3,22.7,271.4,0.5,43.6,-0.6
frmom,vid_night,autumn,933,10,2016-08-15,2026-08-30,3.7,13.7,40.2,297.8,0.5,43.6,-0.6
frmtc,vid_night,spring,966,10,2016-02-15,2026-05-31,1.1,3.1,9.4,313.1,0.5,47.4,7.0
frmtc,vid_night,autumn,977,11,2016-08-15,2026-08-30,1.4,4.3,19.7,122.4,0.6,47.4,7.0
frnan,vid_night,spring,969,10,2016-02-15,2026-05-31,2.9,6.0,19.2,379.8,0.5,48.7,6.6
frnan,vid_night,autumn,1013,11,2016-08-15,2026-08-30,3.2,7.8,24.0,149.0,0.5,48.7,6.6
frnim,vid_night,spring,996,10,2016-02-15,2026-05-31,4.6,10.5,53.1,3232.0,0.9,43.8,4.5
frnim,vid_night,autumn,1028,11,2016-08-16,2026-08-30,7.6,27.3,301.9,3099.9,0.7,43.8,4.5
frniz,vid_night,spring,1007,10,2016-02-16,2026-05-31,1.0,2.5,8.0,228.8,0.6,46.1,4.4
frniz,vid_night,autumn,1040,11,2016-08-15,2026-08-30,1.1,2.9,15.2,213.2,0.6,46.1,4.4
fropo,vid_night,spring,845,10,2016-02-15,2026-05-31,2.8,7.1,22.3,1183.6,0.8,42.9,2.9
fropo,vid_night,autumn,924,11,2016-08-15,2026-08-30,3.2,10.5,123.0,1137.4,0.8,42.9,2.9
frpla,vid_night,spring,1004,10,2016-02-15,2026-05-31,0.9,1.5,4.0,36.5,0.5,48.5,-4.4
frpla,vid_night,autumn,1047,11,2016-08-15,2026-08-30,1.1,1.9,4.9,32.0,0.5,48.5,-4.4
frtou,vid_night,spring,1006,10,2016-02-15,2026-05-31,1.2,4.1,14.4,118.2,0.5,43.6,1.4
frtou,vid_night,autumn,1026,11,2016-08-15,2026-08-30,1.6,6.9,27.6,396.3,0.6,43.6,1.4
frtra,vid_night,spring,792,8,2016-02-15,2024-05-31,1.8,4.9,16.9,70.0,0.5,48.8,2.0
frtra,vid_night,autumn,945,10,2016-08-15,2026-08-30,1.9,5.7,21.2,238.6,0.6,48.8,2.0
frtre,vid_night,spring,821,9,2016-02-15,2026-05-31,0.8,1.9,9.5,59.6,0.6,47.3,-1.7
frtre,vid_night,autumn,876,10,2016-10-04,2026-08-30,1.2,3.7,16.2,145.0,0.7,47.3,-1.7
frtro,vid_night,spring,990,10,2016-02-15,2026-05-31,1.4,3.9,14.1,322.0,0.6,48.5,4.3
frtro,vid_night,autumn,1032,11,2016-08-15,2026-08-30,1.4,4.5,24.0,234.1,0.7,48.5,4.3
ptfar,vid_night,spring,503,6,2019-02-27,2026-05-30,3.0,5.1,9.2,21.7,0.3,37.3,-8.0
ptfar,vid_night,autumn,463,7,2019-08-28,2026-08-30,2.4,8.5,19.1,35.8,0.4,37.3,-8.0
ptflr,vid_night,spring,105,1,2026-02-15,2026-05-31,2.6,7.6,18.3,41.7,0.4,39.5,-31.2
ptlis,vid_night,spring,223,4,2019-05-14,2026-05-31,4.1,6.9,12.9,29.7,0.3,39.1,-8.4
ptlis,vid_night,autumn,280,6,2019-08-22,2026-08-30,4.0,9.5,27.7,60.4,0.4,39.1,-8.4
ptprt,vid_night,spring,432,6,2019-05-04,2026-05-31,1.9,3.3,8.4,48.1,0.4,40.8,-8.3
ptprt,vid_night,autumn,388,7,2019-09-03,2026-08-30,3.2,5.7,10.9,39.0,0.3,40.8,-8.3
ptsmg,vid_night,spring,105,1,2026-02-15,2026-05-31,2.3,5.8,13.5,33.7,0.4,37.8,-25.8
pttrc,vid_night,spring,307,3,2024-02-15,2026-05-31,0.8,1.8,5.6,24.0,0.5,38.7,-27.3
pttrc,vid_night,autumn,205,3,2024-08-15,2026-08-31,0.4,0.9,3.5,13.2,0.5,38.7,-27.3
